Date,herfindahl_volume,herfindahl_inflow_centrality,herfindahl_outflow_centrality,herfindahl_betweenness_centrality_count,herfindahl_betweenness_centrality_volume,herfindahl_tvl,total_volumes,S&P,S&P_volatility,Gas_fee,Gas_fee_volatility,boom,bust
2016-06-15,,,,,,,,,,4.1567034410820003e-07,0.06275330745279363,0,0
2016-06-16,,,,,,,,,,4.7841367272156e-07,0.06455552166640002,0,0
2016-06-17,,,,,,,,,,3.815507579955701e-07,0.07621619213082598,0,0
2016-06-18,,,,,,,,,,2.8222521485168e-07,0.09317149901354856,0,0
2016-06-19,,,,,,,,,,2.8033703490177004e-07,0.09279658978698485,0,0
2016-06-20,,,,,,,,,,2.654857535616e-07,0.09322794866538045,0,0
2016-06-21,,,,,,,,,,3.186250226191001e-07,0.09933780069634382,0,0
2016-06-22,,,,,,,,,,3.040674284951101e-07,0.09929806052142194,0,0
2016-06-23,,,,,,,,,,3.071413856219801e-07,0.09889215805131135,0,0
2016-06-24,,,,,,,,,,3.1886366010000005e-07,0.0990304066161716,0,0
2016-06-25,,,,,,,,,,3.2127052520892e-07,0.09876964188082128,0,0
2016-06-26,,,,,,,,,,3.059909288659401e-07,0.09856336105787687,0,0
2016-06-27,,,,,,,,,,3.1326537246264e-07,0.09427649676067111,0,0
2016-06-28,,,,,,,,,,2.7439818883695e-07,0.09674277893246697,0,0
2016-06-29,,,,,,,,,,2.9244111389944e-07,0.09747418947662637,0,0
2016-06-30,,,,,,,,,,2.783364898012e-07,0.0964968063849707,0,0
2016-07-01,,,,,,,,,,2.7662025131382005e-07,0.09649747355313186,0,0
2016-07-02,,,,,,,,,,2.6698418186944e-07,0.09665470731588426,0,0
2016-07-03,,,,,,,,,,2.658975205368e-07,0.09665425736902519,0,0
